actual_combo,date,flat_invest,flat_return,head,head_ev,head_hit,head_prob,kelly_invest,kelly_raw,kelly_return,kelly_total,model,payout100,race_code,score,synthetic_odds,winner
4-1-6,2026-07-21,2000,0,5,0.6207151021801178,0,0.143186630118075,0,0.0,0,0,5頭展開,11640,202607211604,72.43766666666666,4.335007407243692,4
1-3-2,2026-07-21,2000,0,5,3.075946964972312,0,0.10005972314725352,0,0.06980058775886971,0,0,5頭展開,960,202607211611,37.56966666666666,30.74111009127594,1
3-2-1,2026-07-21,2000,0,5,0.6237451810973624,0,0.1268490221207732,0,0.0,0,0,5頭展開,10350,202607212204,58.45733333333334,4.917224986594642,3
1-3-4,2026-07-22,2000,0,3,1.3635931769950866,0,0.1521945309314546,0,0.04568016746795822,0,0,3まくり,620,202607220511,46.32033333333334,8.959541244022901,1
3-6-5,2026-07-22,2000,2280,3,0.33187990962200115,1,0.21348070211828907,0,0.0,0,0,3まくり,2280,202607220802,63.68933333333333,1.5546131632924245,3
3-1-5,2026-07-22,2000,990,3,0.3292357735907229,1,0.15712275976133086,0,0.0,0,0,3まくり,990,202607221410,41.93933333333333,2.095404727429886,3
1-2-4,2026-07-22,2000,0,5,1.7586166256623812,0,0.12674544840230198,0,0.05892083010281374,0,0,5頭展開,790,202607220507,47.230333333333334,13.875185640437095,1
1-3-4,2026-07-22,2000,0,5,2.73782307057218,0,0.11947253244793239,0,0.07929500659466249,0,0,5頭展開,2450,202607221312,44.163,22.915920626068235,1
5-1-3,2026-07-22,2000,4080,5,0.4513597053491709,1,0.1396569597131605,0,0.0,0,0,5頭展開,4080,202607221408,74.99366666666666,3.23191702208191,5
5-1-6,2026-07-22,2000,1980,5,0.31631468664925994,1,0.13857334807923946,0,0.0,0,0,5頭展開,1980,202607221506,60.044333333333334,2.2826516861552903,5
1-5-4,2026-07-22,2000,0,5,0.6355857399257433,0,0.11550589050589054,0,0.0,0,0,5頭展開,1400,202607221507,51.82966666666666,5.502626204966836,1
3-6-5,2026-07-22,2000,0,5,1.1948093052454059,0,0.11588615289964405,0,0.02092429000606682,0,0,5頭展開,19960,202607222204,43.090666666666664,10.310199064767433,3
3-5-4,2026-07-22,2000,0,5,2.561949078554416,0,0.1168022305940944,0,0.07461275244132361,0,0,5頭展開,32930,202607222210,43.36266666666666,21.934076648395358,3
5-1-4,2026-07-22,2000,14240,5,0.9159583408828212,1,0.13651349169481664,0,0.0,0,0,5頭展開,14240,202607222310,61.643000000000015,6.70965433167951,5
3-1-2,2026-07-23,2000,3980,3,0.6150911444030848,1,0.24377862017278268,0,0.0,0,0,3まくり,3980,202607230301,68.631,2.5231545898780103,3
4-6-1,2026-07-23,2000,0,3,1.0166990667692255,0,0.2087293449979883,0,0.0043140048134192276,0,0,3まくり,59990,202607230510,54.64300000000001,4.870896647421685,4
1-3-4,2026-07-23,2000,0,3,0.6548340801379271,0,0.19333343331717776,0,0.0,0,0,3まくり,450,202607230812,51.778000000000006,3.3870710766493426,1
4-6-5,2026-07-23,2000,0,3,0.5556790547730429,0,0.15118733475315943,0,0.0,0,0,3まくり,15730,202607231303,45.326,3.6754338958371684,4
3-1-4,2026-07-23,2000,1230,3,0.8107370242190824,1,0.24174704281840745,0,0.0,0,0,3まくり,1230,202607231305,68.373,3.353658496778725,3
3-1-4,2026-07-23,2000,990,3,0.3067135452513532,1,0.15243746672842945,0,0.0,0,0,3まくり,990,202607231406,46.158,2.0120614166185917,3
4-5-3,2026-07-23,2000,0,3,0.36529618405071423,0,0.2357463200020199,0,0.0,0,0,3まくり差し,22800,202607231902,67.527,1.5495308009371445,4
3-4-6,2026-07-23,2000,1520,3,0.8613746373466752,1,0.17911790929404647,0,0.0,0,0,3まくり,1520,202607231908,29.80833333333333,4.808981082581816,3
3-1-6,2026-07-23,2000,1570,3,0.6035646757798576,1,0.23164826359616336,0,0.0,0,0,3まくり,1570,202607232103,66.47933333333333,2.605522123973538,3
4-3-2,2026-07-23,2000,0,3,0.804912684192993,0,0.3147700326188799,0,0.0,0,0,3まくり,4300,202607232404,87.59366666666666,2.5571452196263307,4
1-3-4,2026-07-23,2000,0,3,0.9924734192096293,0,0.1756177039615463,0,0.0,0,0,3まくり,650,202607232412,28.367666666666672,5.651328976644312,1
1-2-4,2026-07-23,2000,0,5,1.6949024868994802,0,0.15261618823431383,0,0.06876373656235682,0,0,5頭展開,1350,202607230304,43.793000000000006,11.105653381260394,1
3-4-1,2026-07-23,2000,0,5,1.8593527576008386,0,0.15798842291848583,0,0.0797993610988421,0,0,5頭展開,1490,202607230904,50.44266666666667,11.76891776785551,3
1-2-4,2026-07-23,2000,0,5,1.1681941526252133,0,0.15744383063568784,0,0.026199478846281824,0,0,5頭展開,1780,202607230911,50.94799999999999,7.419751843616655,1
1-5-4,2026-07-23,2000,0,5,1.1297012373730004,0,0.21541340942580994,0,0.030558632517284363,0,0,5頭展開,1570,202607232107,65.86533333333333,5.244340361095665,1
1-2-5,2026-07-23,2000,0,5,2.32134076500498,0,0.14862986943165407,0,0.09038970890123388,0,0,5頭展開,1670,202607232210,40.99466666666667,15.618265520124304,1
6-5-4,2026-07-24,2000,0,3,0.3226712126029642,0,0.21580229185133792,0,0.0,0,0,3まくり,29170,202607240107,62.63000000000001,1.4952168016141656,6
1-5-4,2026-07-24,2000,0,3,0.326967793318055,0,0.18362217800850614,0,0.0,0,0,3まくり,4270,202607240206,31.81433333333333,1.7806552392756634,1
1-3-4,2026-07-24,2000,0,3,0.36293250768633867,0,0.17905611720094292,0,0.0,0,0,3まくり,1600,202607240305,33.62500000000001,2.026920461360409,1
1-3-2,2026-07-24,2000,0,3,0.6153006382137014,0,0.16152058341690928,0,0.0,0,0,3まくり,1160,202607240310,42.47000000000001,3.809425555537504,1
3-1-6,2026-07-24,2000,4300,3,1.1724691578936983,1,0.20478510482096335,0,0.036498601444855644,0,0,3まくり,4300,202607241204,53.576,5.725363467810553,3
3-2-5,2026-07-24,2000,3290,3,0.28264911341662596,1,0.17269018331652894,0,0.0,0,0,3まくり,3290,202607241405,38.39333333333334,1.6367410583990756,3
1-3-4,2026-07-24,2000,0,3,0.9688235340490772,0,0.24788319083432608,0,0.0,0,0,3まくり,470,202607241707,67.86600000000001,3.908387377087602,1
1-2-4,2026-07-24,2000,0,3,0.44234512574274953,0,0.2589446879330621,0,0.0,0,0,3まくり差し,18200,202607241406,69.554,1.7082610547975288,1
3-1-5,2026-07-24,2000,0,5,1.1562519460739924,0,0.13694513971209218,0,0.02099264367885712,0,0,5頭展開,8480,202607240109,48.23900000000001,8.443176212787462,3
2-1-4,2026-07-24,2000,0,5,0.6398201447919397,0,0.13095983880449275,0,0.0,0,0,5頭展開,2030,202607241304,51.05900000000001,4.885621047129678,2
5-3-1,2026-07-24,2000,22060,5,0.6335628770982766,1,0.19943644454170764,0,0.0,0,0,5頭展開,22060,202607241305,58.575,3.176765804034283,5
1-2-5,2026-07-24,2000,0,5,1.4319939152447791,0,0.18309609544091052,0,0.06333296277830983,0,0,5頭展開,390,202607241311,57.447,7.820996465251864,1
4-5-2,2026-07-24,2000,0,5,1.5604953800827084,0,0.12904401074008798,0,0.05052813766239148,0,0,5頭展開,30260,202607241507,44.835,12.092737749958472,4
1-4-2,2026-07-24,2000,0,5,2.0071490927801565,0,0.1353385737609129,0,0.07282047001898616,0,0,5頭展開,580,202607241906,37.21,14.830576656777511,1
1-6-5,2026-07-24,2000,0,5,1.2644866706445432,0,0.1899685812330094,0,0.04675971309603789,0,0,5頭展開,5150,202607242208,57.92533333333334,6.656293700975554,1
1-2-6,2026-07-24,2000,0,5,3.7564669507417845,0,0.1309026350315535,0,0.09952348263853825,0,0,5頭展開,1200,202607242209,45.50533333333333,28.69664884772033,1
1-3-2,2026-07-25,2000,0,3,0.40760372342338436,0,0.29955419614510176,0,0.0,0,0,3まくり,4050,202607250409,93.50766666666667,1.3607010973932216,1
1-2-3,2026-07-25,2000,0,3,1.834116177984473,0,0.16375603178049142,0,0.08177371548349134,0,0,3まくり,1070,202607250803,42.297999999999995,11.200296917569634,1
3-1-5,2026-07-25,2000,3570,3,0.7808767339236075,1,0.1675188336910826,0,0.0,0,0,3まくり,3570,202607251210,47.896,4.66142651974048,3
3-4-1,2026-07-25,2000,6290,3,0.6659397343350547,1,0.18120304367158377,0,0.0,0,0,3まくり,6290,202607251305,32.082,3.6751023649581627,3
1-3-4,2026-07-25,2000,0,3,0.6121384925493112,0,0.2088397045407018,0,0.0,0,0,3まくり,2020,202607251502,60.73366666666667,2.931140387770509,1
6-2-3,2026-07-25,2000,0,3,0.5796554207608073,0,0.3121175623455816,0,0.0,0,0,3まくり,39500,202607251706,89.55266666666667,1.8571701521845272,6
3-1-4,2026-07-25,2000,1920,3,0.8604171776858741,1,0.21294203386738764,0,0.0,0,0,3まくり,1920,202607252011,62.38933333333334,4.040616885540362,3
4-5-6,2026-07-25,2000,0,5,0.8911050642272814,0,0.2072907628287893,0,0.0,0,0,5頭展開,1200,202607250204,63.02766666666668,4.298817043590528,4
1-2-6,2026-07-25,2000,0,5,0.5030447041387561,0,0.15555555555555556,0,0.0,0,0,5頭展開,1750,202607250211,27.317000000000004,3.233858812320575,1
1-5-4,2026-07-25,2000,0,5,0.5462650843988205,0,0.11790687763157605,0,0.0,0,0,5頭展開,1380,202607250306,46.081,4.633021375612511,1
4-1-2,2026-07-25,2000,0,5,0.904010818591522,0,0.11575178728998219,0,0.0,0,0,5頭展開,6970,202607250408,45.135,7.809908077935659,4
1-2-5,2026-07-25,2000,0,5,0.4654847432323378,0,0.15419696252635204,0,0.0,0,0,5頭展開,760,202607251408,88.87633333333333,3.018767267563958,1
1-4-3,2026-07-25,2000,0,5,1.8118054455121875,0,0.11973224131529804,0,0.057443900927012244,0,0,5頭展開,1510,202607252012,51.12133333333334,15.132143402720176,1
,2026-07-25,2000,0,5,3.0566914009345063,0,0.20216372757762507,0,0.14565926404237894,0,0,5頭展開,0,202607252412,63.51500000000001,15.11988049271017,0
3-1-6,2026-07-26,2000,1000,3,0.5104368613140629,1,0.30233963154760046,0,0.0,0,0,3まくり,1000,202607260104,80.34933333333335,1.6882896188675798,3
1-4-6,2026-07-26,2000,0,3,0.5063270255081705,0,0.18527571194260353,0,0.0,0,0,3まくり,1950,202607260203,33.05866666666667,2.7328300088520256,1
1-4-5,2026-07-26,2000,0,3,2.976315008527036,0,0.29845685708741765,2700,0.22026736768807983,0,2700,3まくり,860,202607261211,75.26300000000002,9.972345877968142,1
1-3-4,2026-07-26,2000,0,3,0.3031365356485292,0,0.1421784858368726,0,0.0,0,0,3まくり,460,202607261402,17.318333333333328,2.1320844279937727,1
3-6-1,2026-07-26,2000,2090,3,0.4162301910477985,1,0.30106709586842695,0,0.0,0,0,3まくり差し,2090,202607260208,82.399,1.3825163784411048,3
2-4-3,2026-07-26,2000,0,3,0.5666720486423804,0,0.17025743396953508,0,0.0,0,0,3まくり差し,4450,202607260607,7.5969999999999995,3.328324851552606,2
4-6-2,2026-07-26,2000,0,5,1.4769634243812635,0,0.09473273963264432,0,0.032689226476275285,0,0,5頭展開,6190,202607260312,41.705000000000005,15.59084462360794,4
1-4-3,2026-07-26,2000,0,5,1.159342895681027,0,0.17697447452027226,0,0.028705752978468075,0,0,5頭展開,2230,202607261706,75.38566666666665,6.5509045800174155,1
1-3-2,2026-07-26,2000,0,5,2.2872465887410303,0,0.09801410739644316,0,0.05763130524953574,0,0,5頭展開,1590,202607261712,45.75766666666667,23.335891633330654,1
1-3-4,2026-07-27,2000,0,3,0.5830521744202531,0,0.19279688400733555,0,0.0,0,0,3まくり,1210,202607270107,51.088666666666676,3.024178411504146,1
5-2-3,2026-07-27,2000,0,3,0.42502759531118467,0,0.17766083205463082,0,0.0,0,0,3まくり,12180,202607270203,48.65166666666667,2.392353961172986,5
1-2-3,2026-07-27,2000,0,3,0.5378593912680144,0,0.16725837038253075,0,0.0,0,0,3まくり,4600,202607270303,41.460000000000015,3.215739756628593,1
3-1-6,2026-07-27,2000,2140,3,0.3037640643525021,1,0.21195632115503762,0,0.0,0,0,3まくり,2140,202607270908,61.199333333333335,1.4331446342207022,3
3-6-1,2026-07-27,2000,34260,3,0.44944339375214254,1,0.1579369886250979,0,0.0,0,0,3まくり,34260,202607271404,44.21,2.8457133295038726,3
1-5-2,2026-07-27,2000,0,3,0.5862018452082681,0,0.15361505466776942,0,0.0,0,0,3まくり,1530,202607272003,24.458333333333336,3.8160442443357825,1
1-2-3,2026-07-27,2000,0,3,0.5506024671297796,0,0.1343560957289742,0,0.0,0,0,3まくり,640,202607272009,18.50133333333333,4.098083262559712,1
1-5-2,2026-07-27,2000,0,3,0.5185184031736225,0,0.20627135735635074,0,0.0,0,0,3まくり差し,13710,202607272108,57.484,2.51376831868052,1
1-5-3,2026-07-27,2000,0,5,0.43093200223479583,0,0.08827920337423005,0,0.0,0,0,5頭展開,3430,202607270309,45.813,4.881466820764164,1
5-1-6,2026-07-27,2000,11860,5,1.0232037671036651,1,0.15679802195257758,0,0.004199308238738096,0,0,5頭展開,11860,202607270611,64.79433333333334,6.52561655027208,5
1-2-4,2026-07-27,2000,0,5,0.9352588992750251,0,0.08565734513725352,0,0.0,0,0,5頭展開,1550,202607271012,43.611666666666665,10.918607129095676,1
5-4-1,2026-07-27,2000,2610,5,0.5647441303452106,1,0.14066845020535812,0,0.0,0,0,5頭展開,2610,202607271406,67.92966666666665,4.014717795786871,5
1-2-5,2026-07-27,2000,0,5,0.6779713256050348,0,0.0855090815941847,0,0.0,0,0,5頭展開,1760,202607271910,43.25800000000001,7.928647027488858,1
5-1-3,2026-07-27,2000,30120,5,1.7222132057253794,1,0.09467878728235708,0,0.04201340979491932,0,0,5頭展開,30120,202607272011,51.63066666666667,18.190064059326044,5
1-4-5,2026-07-28,2000,0,3,0.6453574137773318,0,0.17715840187092718,0,0.0,0,0,3まくり,4880,202607281010,38.733999999999995,3.642827023510416,1
4-5-1,2026-07-28,2000,0,3,1.4983873283028544,0,0.22786514233204944,0,0.08938458592397171,0,0,3まくり,1230,202607281906,64.11666666666667,6.575763686221808,4
1-4-3,2026-07-28,2000,0,3,1.4651163910951694,0,0.17378699797767175,0,0.06259532366369933,0,0,3まくり,1020,202607281908,39.722,8.430529372993764,1
1-5-3,2026-07-28,2000,0,3,0.7197692821403779,0,0.12693418955594885,0,0.0,0,0,3まくり,2410,202607282012,20.56266666666667,5.670413027871619,1
3-1-6,2026-07-28,2000,700,3,0.637766028781236,1,0.2685535888557794,0,0.0,0,0,3まくり,700,202607282406,71.42133333333334,2.374818491529204,3
1-2-3,2026-07-28,2000,0,3,2.027952128600926,0,0.21300805317830698,0,0.12064398272040061,0,0,3まくり,1250,202607282411,59.39766666666666,9.520542056235529,1
5-4-6,2026-07-28,2000,12860,5,0.6280533909367088,1,0.10513946147202768,0,0.0,0,0,5頭展開,12860,202607280304,40.521,5.9735268009129205,5
1-2-3,2026-07-28,2000,0,5,0.9853904027329827,0,0.1408086083419662,0,0.0,0,0,5頭展開,1610,202607281511,52.091,6.99808352867088,1
1-2-5,2026-07-28,2000,0,5,2.9571823001921778,0,0.21764779873536252,0,0.1554922630593327,0,0,5頭展開,900,202607281712,66.71499999999999,13.587007621371853,1
1-3-4,2026-07-28,2000,0,5,0.8027161990039581,0,0.10115160425355472,0,0.0,0,0,5頭展開,1000,202607282007,43.16266666666667,7.935773287310454,1
1-5-3,2026-07-28,2000,0,5,2.1199821565993404,0,0.2123219926558015,0,0.12465367140473137,0,0,5頭展開,2410,202607282012,58.494666666666674,9.98475066139793,1
3-2-6,2026-07-29,2000,2560,3,0.3271497880234535,1,0.20027871031117872,0,0.0,0,0,3まくり,2560,202607291502,52.247666666666674,1.6334726118175595,3
1-6-5,2026-07-29,2000,0,3,1.0955455386762096,0,0.15976299253239182,0,0.016312167014584017,0,0,3まくり,5840,202607291805,45.741,6.857317338081838,1
1-3-4,2026-07-29,2000,0,3,0.5610964268113776,0,0.2826674994798412,0,0.0,0,0,3まくり,350,202607291908,72.84266666666669,1.9850050955412117,1
1-3-5,2026-07-29,2000,0,3,1.1673114825694066,0,0.21400947912108353,0,0.03756023076227172,0,0,3まくり,700,202607292305,61.35433333333333,5.454484947879147,1
3-1-6,2026-07-29,2000,2300,3,0.9701137281196259,1,0.2100879600243592,0,0.0,0,0,3まくり,2300,202607292405,54.663666666666664,4.617655043188308,3
1-2-3,2026-07-29,2000,0,5,4.423220842166063,0,0.17965072323440484,0,0.14492139468666237,0,0,5頭展開,500,202607290410,56.76566666666667,24.62122479960589,1
3-1-2,2026-07-29,2000,0,5,1.1148722638565043,0,0.1240601490783244,0,0.0143832215678883,0,0,5頭展開,3410,202607291111,41.10366666666667,8.98654622083872,3
1-3-4,2026-07-29,2000,0,5,1.4533722349766516,0,0.1201465909223908,0,0.04085664620556374,0,0,5頭展開,2350,202607291904,47.46333333333334,12.096658122538521,1
1-2-5,2026-07-29,2000,0,5,1.9610124526264279,0,0.22367731377946706,0,0.12372781687634532,0,0,5頭展開,1380,202607292410,62.795,8.767149513248684,1
3-4-1,2026-07-30,2000,2700,3,0.7057577123340275,1,0.2717208925065097,0,0.0,0,0,3まくり,2700,202607300804,71.556,2.597362704883355,3
5-1-3,2026-07-30,2000,0,3,0.612637597034055,0,0.2031936520112671,0,0.0,0,0,3まくり,3550,202607301010,51.873000000000005,3.0150429945522323,5
4-1-3,2026-07-30,2000,0,3,0.5995655849245132,0,0.21173739861135624,0,0.0,0,0,3まくり,1790,202607301810,60.419,2.8316470725373137,4
1-2-3,2026-07-30,2000,0,3,0.3162689409554321,0,0.18525292520998665,0,0.0,0,0,3まくり,970,202607302203,28.84,1.707227783836272,1
4-1-2,2026-07-30,2000,0,3,0.6600449942808941,0,0.23131561594548514,0,0.0,0,0,3まくり,6780,202607302206,64.81566666666669,2.853438975933423,4
2-4-1,2026-07-30,2000,0,5,2.485102286335601,0,0.1431182549269255,0,0.09075435389732144,0,0,5頭展開,4880,202607300412,53.920333333333325,17.363978393982407,2
5-4-2,2026-07-30,2000,9330,5,0.5605821226310671,1,0.12009434721959666,0,0.0,0,0,5頭展開,9330,202607301006,49.998333333333335,4.667847701491089,5
5-6-3,2026-07-30,2000,25950,5,1.3978155804226804,1,0.1505949173229282,0,0.048034005702433394,0,0,5頭展開,25950,202607301106,54.721,9.281957221871403,5
1-2-5,2026-07-30,2000,0,5,1.3688560187484888,0,0.20873305482568932,0,0.0663657611981701,0,0,5頭展開,1040,202607301109,63.20500000000001,6.557926438108259,1
4-2-1,2026-07-30,2000,0,5,0.7928822062277441,0,0.2083699066771925,0,0.0,0,0,5頭展開,6070,202607301609,63.65766666666668,3.805166585096573,4
1-2-4,2026-07-30,2000,0,5,2.029054729073631,0,0.11963506121024417,0,0.06447562449127517,0,0,5頭展開,1690,202607301802,49.282000000000004,16.960368545369928,1
1-3-4,2026-07-30,2000,0,5,1.4632700960956169,0,0.13742891787698455,0,0.048019860174148686,0,0,5頭展開,930,202607301912,53.20866666666667,10.64746866016525,1
1-2-5,2026-07-30,2000,0,5,1.1098327582635672,0,0.2030420696179779,0,0.02459296376652778,0,0,5頭展開,570,202607302408,67.09633333333333,5.4660236686500925,1
1-3-5,2026-07-31,2000,0,3,0.3304484394305706,0,0.18526574549852956,0,0.0,0,0,3まくり,800,202607310107,49.361000000000004,1.7836456412456092,1
4-1-6,2026-07-31,2000,0,3,0.5140286031851642,0,0.22847752594051582,0,0.0,0,0,3まくり,8490,202607310603,64.59433333333334,2.249799410551179,4
2-3-4,2026-07-31,2000,0,3,0.4867481384774483,0,0.27249161569663527,0,0.0,0,0,3まくり差し,13790,202607310803,71.028,1.7862866614558324,2
1-4-6,2026-07-31,2000,0,3,0.7316665531164218,0,0.28965571863277534,0,0.0,0,0,3まくり,7070,202607311007,73.49133333333334,2.5259869080783677,1
2-1-3,2026-07-31,2000,0,3,1.0295707243317604,0,0.1990012325103429,0,0.007085030989206111,0,0,3まくり,7380,202607311507,51.49566666666668,5.1736901894728184,2
3-5-4,2026-07-31,2000,15400,3,0.6833579047436011,1,0.21135795334316743,0,0.0,0,0,3まくり,15400,202607311606,59.482,3.2331780940085078,3
2-3-1,2026-07-31,2000,0,3,1.2798898663486975,0,0.16541893213292747,0,0.04154355343399694,0,0,3まくり,30920,202607311612,42.28900000000001,7.7372635033105075,2
3-4-1,2026-07-31,2000,5110,3,0.5614241712958157,1,0.21261754065834815,0,0.0,0,0,3まくり,5110,202607312009,61.58933333333335,2.6405355341681784,3
1-3-6,2026-07-31,2000,0,3,0.5531899830858669,0,0.2009904612688246,0,0.0,0,0,3まくり,870,202607312010,51.74933333333333,2.7523195856840967,1
4-1-2,2026-07-31,2000,0,5,1.4732817347347278,0,0.11824823497465432,0,0.04130136250360851,0,0,5頭展開,9230,202607310112,41.561666666666675,12.459228123367046,4
4-1-5,2026-07-31,2000,0,5,1.7209386987892776,0,0.2022890176866641,0,0.09603135140719177,0,0,5頭展開,2800,202607310511,64.649,8.507326391069476,4
3-5-6,2026-07-31,2000,0,5,1.4053838045143383,0,0.12413049439282092,0,0.03927442893274161,0,0,5頭展開,20940,202607311005,40.742333333333335,11.321825562596153,3
1-2-3,2026-07-31,2000,0,5,3.1304678605142278,0,0.15919517992371895,0,0.11414644525619862,0,0,5頭展開,1210,202607311103,25.783666666666665,19.66433821686212,1
1-4-5,2026-07-31,2000,0,5,1.605717076898828,0,0.21375554970838373,0,0.09301649809359269,0,0,5頭展開,2670,202607311104,60.191666666666656,7.511931639152431,1
1-4-3,2026-07-31,2000,0,5,1.6385204552734198,0,0.11673279503947302,0,0.04897942031050806,0,0,5頭展開,1340,202607311312,44.935,14.036504948925078,1
1-2-4,2026-07-31,2000,0,5,3.2976863455255563,0,0.2038706007663932,0,0.15140872446219272,0,0,5頭展開,1080,202607311511,58.524333333333345,16.17538935544825,1
1-5-2,2026-07-31,2000,0,5,1.0371359523597454,0,0.1355500099661784,0,0.005583248890397668,0,0,5頭展開,1940,202607312202,38.449333333333335,7.651315943233978,1
5-1-4,2026-07-31,2000,18450,5,1.2370991326136518,1,0.1193888088518291,0,0.025325867016486286,0,0,5頭展開,18450,202607312304,45.736333333333334,10.361935465400187,5
1-3-4,2026-08-01,2000,0,3,0.7586827528722999,0,0.178680625330493,0,0.0,0,0,3まくり,610,202608010811,36.14433333333333,4.246026962738784,1
2-5-1,2026-08-01,2000,0,3,0.3058925651136032,0,0.2121425570253364,0,0.0,0,0,3まくり,201040,202608011301,57.816,1.4419198552276813,2
1-6-3,2026-08-01,2000,0,3,0.4774404521484913,0,0.16328969241453972,0,0.0,0,0,3まくり,980,202608011802,42.763,2.923886040133044,1
2-1-4,2026-08-01,2000,0,3,0.6400194510633741,0,0.1692099835944421,0,0.0,0,0,3まくり,10260,202608011805,26.740000000000002,3.7823976899457388,2
3-6-4,2026-08-01,2000,0,5,0.5043736635739698,0,0.15082857313494039,0,0.0,0,0,5頭展開,91580,202608010505,50.733000000000004,3.3440193266479192,3
1-4-6,2026-08-01,2000,0,5,2.227265939895773,0,0.19684543440746094,0,0.11898111569463507,0,0,5頭展開,970,202608011005,59.466333333333345,11.314796030704148,1
1-4-6,2026-08-01,2000,0,5,2.713747949570165,0,0.15079178976582536,0,0.10082853720873897,0,0,5頭展開,4860,202608011109,50.70500000000001,17.996655877515117,1
5-2-1,2026-08-01,2000,12310,5,1.8594451966150851,1,0.14887039544557462,0,0.07479704845202409,0,0,5頭展開,12310,202608011112,49.63166666666667,12.490362446137773,5
4-6-5,2026-08-01,2000,0,5,1.4033783374368385,0,0.14794375788886607,0,0.04753517870509522,0,0,5頭展開,2310,202608011308,26.351000000000003,9.485890837591423,4
5-4-1,2026-08-01,2000,1220,5,0.46476234308270714,1,0.20598603922031833,0,0.0,0,0,5頭展開,1220,202608011603,71.203,2.2562807889402987,5
